                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.69468,                 1.0455,                0.41454,                0.92731,                0.97297,                0.99354,                 0.9899,                 0.7706,                0.97297,                0.99354,                 0.9899,                0.75021,                0.75269,                 1.0997,                0.39888,                 1.0223,             0.00065091,             0.00065091,             0.00065091
                     57,                0.69507,                 1.0362,                0.40809,                0.93725,                0.98197,                0.99479,                0.98823,                0.76663,                0.98197,                0.99479,                0.98823,                0.75766,                0.75327,                 1.0502,                0.37137,                 1.0129,             0.00063676,             0.00063676,             0.00063676
                     58,                0.66184,                0.99592,                0.40534,                0.91953,                0.97526,                0.98153,                0.98659,                0.77025,                0.97526,                0.98153,                0.98659,                0.74952,                 0.7281,                 1.0994,                0.35697,                 1.0045,             0.00062262,             0.00062262,             0.00062262
                     59,                0.68278,                 1.0365,                 0.3944,                   0.92,                 0.9732,                0.99874,                0.98716,                0.76955,                 0.9732,                0.99874,                0.98716,                0.74873,                0.76728,                 1.0886,                0.37211,                 1.0137,             0.00060847,             0.00060847,             0.00060847
                     60,                0.68341,                 1.0412,                0.39408,                0.91688,                0.98335,                      1,                0.98844,                0.77103,                0.98335,                      1,                0.98844,                0.74798,                0.76452,                 1.0588,                0.37875,                 1.0238,             0.00059432,             0.00059432,             0.00059432
                     61,                0.66448,                 1.0192,                0.39119,                0.91844,                0.98068,                      1,                0.99028,                0.77143,                0.98068,                      1,                0.99028,                0.74938,                0.71934,                 1.0581,                 0.3816,                 1.0159,             0.00058017,             0.00058017,             0.00058017
                     62,                0.67571,                   1.04,                 0.4041,                0.92808,                0.96757,                0.99963,                0.99018,                0.77035,                0.96757,                0.99963,                0.99018,                  0.761,                0.73704,                  1.047,                0.35668,                 1.0101,             0.00056603,             0.00056603,             0.00056603
                     63,                0.66575,                  1.016,                0.40312,                0.91926,                0.97368,                0.98974,                0.98986,                 0.7831,                0.97368,                0.98974,                0.98986,                0.75976,                0.75214,                 1.0719,                0.37592,                 1.0079,             0.00055188,             0.00055188,             0.00055188
                     64,                0.65814,                0.98449,                0.38051,                0.91341,                0.97663,                0.99327,                0.99054,                0.78079,                0.97663,                0.99327,                0.99054,                0.76377,                0.73381,                 1.0227,                0.37625,                 1.0035,             0.00053773,             0.00053773,             0.00053773
                     65,                0.65822,                 1.0047,                 0.3825,                0.91067,                0.98272,                0.99056,                0.98977,                0.77704,                0.98272,                0.99056,                0.98977,                0.75975,                0.72521,                 1.0161,                0.36051,                 1.0088,             0.00052359,             0.00052359,             0.00052359
                     66,                 0.6585,                  1.019,                0.38866,                0.91491,                0.97115,                0.99001,                0.98915,                0.77929,                0.97115,                0.99001,                0.98915,                0.76286,                0.75936,                 1.0321,                0.36112,                 1.0353,             0.00050944,             0.00050944,             0.00050944
                     67,                0.64936,                0.97946,                0.38878,                0.91431,                0.96675,                0.99223,                0.98569,                0.77416,                0.96675,                0.99223,                0.98569,                0.76129,                0.73033,                 1.0206,                0.36733,                 1.0084,             0.00049529,             0.00049529,             0.00049529
                     68,                0.66275,                 1.0095,                0.39602,                0.92229,                0.97169,                0.98993,                0.98576,                0.78095,                0.97169,                0.98993,                0.98576,                0.75849,                0.71432,                 1.0447,                0.36405,                 1.0104,             0.00048114,             0.00048114,             0.00048114
                     69,                0.64227,                0.99285,                0.36549,                0.91029,                0.98099,                0.99913,                0.98767,                0.77665,                0.98099,                0.99913,                0.98767,                0.76364,                0.79358,                 1.0477,                0.35465,                 1.0298,               0.000467,               0.000467,               0.000467
                     70,                0.65022,                0.99205,                0.38288,                0.91005,                0.98105,                0.99388,                0.98782,                0.78406,                0.98105,                0.99388,                0.98782,                0.75712,                0.73725,                 1.0523,                0.34579,                  1.011,             0.00045285,             0.00045285,             0.00045285
                     71,                0.64105,                0.99122,                0.36329,                0.90731,                0.97814,                0.98999,                0.98849,                 0.7935,                0.97814,                0.98999,                0.98849,                0.76698,                0.72893,                  1.046,                0.35294,                 1.0029,              0.0004387,              0.0004387,              0.0004387
                     72,                0.65484,                 1.0101,                0.36809,                0.91043,                 0.9733,                0.99018,                0.98742,                0.79011,                 0.9733,                0.99018,                0.98742,                  0.762,                0.74056,                 1.0465,                0.35075,                 1.0106,             0.00042456,             0.00042456,             0.00042456
                     73,                0.64468,                0.99084,                0.37248,                0.91706,                0.97718,                0.98453,                0.98657,                0.77819,                0.97718,                0.98453,                0.98657,                0.76757,                0.71682,                 1.0312,                0.34549,                 1.0063,             0.00041041,             0.00041041,             0.00041041
                     74,                0.62664,                0.97502,                0.36216,                0.90373,                0.97159,                0.98596,                0.98445,                0.77176,                0.97159,                0.98596,                0.98445,                0.75782,                0.72717,                 1.0875,                0.36578,                  1.014,             0.00039626,             0.00039626,             0.00039626
                     75,                0.63102,                0.95484,                0.36411,                0.91056,                0.97161,                0.98591,                0.98624,                0.79036,                0.97161,                0.98591,                0.98624,                0.76705,                0.69316,                 1.0954,                0.34387,                 1.0026,             0.00038211,             0.00038211,             0.00038211
                     76,                 0.6475,                0.98528,                0.37747,                0.91747,                0.97792,                0.98038,                0.98807,                0.78498,                0.97792,                0.98038,                0.98807,                0.76583,                0.74424,                 1.0742,                0.35782,                 1.0112,             0.00036797,             0.00036797,             0.00036797
                     77,                0.61772,                0.96645,                0.35576,                0.90169,                0.97544,                0.98464,                0.98691,                0.77608,                0.97544,                0.98464,                0.98691,                0.75984,                0.71143,                 1.1033,                 0.3384,                 1.0154,             0.00035382,             0.00035382,             0.00035382
                     78,                0.63337,                0.97188,                0.36843,                0.90696,                0.97792,                0.99015,                0.98792,                0.78218,                0.97792,                0.99015,                0.98792,                0.75879,                0.71413,                 1.0587,                0.34201,                 1.0063,             0.00033967,             0.00033967,             0.00033967
                     79,                0.62599,                0.96202,                0.36375,                0.90472,                0.97498,                0.99713,                0.98864,                 0.7846,                0.97498,                0.99713,                0.98864,                0.76018,                0.71468,                 1.0645,                0.34412,                 1.0032,             0.00032553,             0.00032553,             0.00032553
                     80,                0.62917,                0.97986,                0.36143,                0.90777,                 0.9787,                0.98461,                0.98885,                 0.7792,                 0.9787,                0.98461,                0.98885,                0.76299,                0.73327,                 1.0779,                 0.3467,                  1.007,             0.00031138,             0.00031138,             0.00031138
                     81,                0.61609,                0.95681,                0.35498,                0.89144,                0.97755,                0.98483,                0.98925,                0.79444,                0.97755,                0.98483,                0.98925,                0.76223,                0.71924,                 1.0696,                0.35005,                 1.0036,             0.00029723,             0.00029723,             0.00029723
                     82,                0.61931,                0.96614,                0.36018,                0.90306,                0.97745,                0.98565,                0.98908,                0.79082,                0.97745,                0.98565,                0.98908,                0.76264,                0.70789,                  1.066,                 0.3491,                 1.0078,             0.00028308,             0.00028308,             0.00028308
                     83,                 0.6011,                0.94396,                0.33911,                0.89387,                0.97581,                0.98661,                0.98783,                0.79309,                0.97581,                0.98661,                0.98783,                0.76627,                0.70138,                 1.0527,                0.34633,                0.99833,             0.00026894,             0.00026894,             0.00026894
                     84,                0.60843,                0.91691,                0.34914,                0.89904,                0.97383,                0.98696,                0.98717,                 0.7896,                0.97383,                0.98696,                0.98717,                0.76227,                0.70904,                 1.0635,                0.35662,                 1.0026,             0.00025479,             0.00025479,             0.00025479
                     85,                0.60169,                0.93974,                0.33903,                0.89952,                0.97309,                 0.9889,                0.98777,                 0.7891,                0.97309,                 0.9889,                0.98777,                0.76911,                0.75558,                  1.082,                0.35822,                  1.022,             0.00024064,             0.00024064,             0.00024064
                     86,                0.61625,                0.95162,                0.34586,                0.90804,                0.97449,                0.98669,                0.98545,                0.78797,                0.97449,                0.98669,                0.98554,                0.76599,                0.79786,                 1.0843,                0.36273,                 1.0313,              0.0002265,              0.0002265,              0.0002265
                     87,                0.59763,                 0.9359,                0.34103,                0.89197,                0.97588,                0.99046,                0.98641,                 0.7901,                0.97588,                0.99046,                0.98641,                0.76719,                0.75263,                 1.0674,                0.35156,                 1.0129,             0.00021235,             0.00021235,             0.00021235
                     88,                0.60611,                 0.9302,                0.34122,                0.89014,                0.97475,                0.98366,                0.98559,                0.79046,                0.97475,                0.98366,                0.98559,                0.75996,                0.74025,                 1.0978,                0.35803,                 1.0222,              0.0001982,              0.0001982,              0.0001982
                     89,                0.59014,                0.94131,                0.34955,                0.88778,                0.97649,                0.97932,                0.98539,                0.78654,                0.97649,                0.97932,                0.98539,                0.76088,                0.74121,                 1.1107,                0.35486,                 1.0221,             0.00018406,             0.00018406,             0.00018406
                     90,                0.58764,                0.92318,                0.33103,                0.89039,                0.97644,                0.97777,                0.98611,                0.78694,                0.97644,                0.97777,                0.98611,                0.75911,                0.73631,                 1.0861,                0.37788,                 1.0249,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.5213,                0.85708,                0.30413,                0.86058,                0.97029,                  0.988,                0.98613,                0.78489,                0.97029,                  0.988,                0.98613,                0.76126,                0.74867,                 1.0854,                0.36256,                 1.0272,             0.00015576,             0.00015576,             0.00015576
                     92,                0.51929,                0.84303,                0.29335,                0.86223,                0.97157,                0.98652,                0.98825,                0.78544,                0.97157,                0.98652,                0.98825,                0.76256,                0.74578,                 1.0945,                0.37053,                 1.0229,             0.00014161,             0.00014161,             0.00014161
                     93,                0.51398,                0.83864,                0.29154,                0.85556,                0.97671,                0.98681,                 0.9874,                0.78116,                0.97671,                0.98681,                0.98597,                0.76421,                0.75994,                 1.0902,                0.35009,                 1.0292,             0.00012747,             0.00012747,             0.00012747
                     94,                0.52461,                0.83544,                0.28841,                0.85668,                 0.9781,                0.97988,                 0.9872,                0.78542,                 0.9781,                0.97988,                 0.9872,                  0.758,                0.74304,                 1.0934,                0.34711,                 1.0278,             0.00011332,             0.00011332,             0.00011332
                     95,                0.51492,                0.83525,                0.28577,                0.86333,                0.96944,                0.98825,                0.98633,                0.78364,                0.96944,                0.98825,                0.98633,                0.76393,                0.73103,                 1.0873,                0.34525,                 1.0228,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.51101,                0.84445,                0.28586,                0.85741,                0.97817,                0.97992,                0.98529,                 0.7823,                0.97817,                0.97992,                0.98644,                0.76513,                0.74754,                  1.102,                0.34312,                 1.0311,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.51049,                0.82245,                0.28275,                0.85643,                0.97629,                0.98453,                0.98533,                0.78501,                0.97629,                0.98453,                0.98629,                0.76382,                0.75113,                 1.1064,                0.34148,                 1.0333,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.51075,                0.83911,                0.28226,                0.86414,                0.97577,                0.98449,                0.98518,                0.78636,                0.97577,                0.98449,                0.98618,                0.76132,                 0.7413,                 1.1029,                0.34331,                 1.0318,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.50367,                 0.8183,                0.27698,                0.85394,                0.97692,                 0.9846,                0.98555,                0.78828,                0.97692,                 0.9846,                 0.9865,                0.76038,                0.74428,                 1.1078,                   0.36,                 1.0296,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.49628,                   0.82,                0.27474,                0.85529,                0.97583,                 0.9845,                0.98558,                0.78778,                0.97583,                 0.9845,                 0.9865,                0.75833,                0.74217,                  1.115,                0.36103,                   1.03,             2.8437e-05,             2.8437e-05,             2.8437e-05
